chemist_id,name,n_molecules,n_papers,style_score,acc1,top5,top10,logloss_bits,style_bits
80,"Brown, Hayden",231,0,0.2949,0.104,0.1582,0.1774,7.633,3.192
81,"Kim, Riley",519,1,0.5312,0.2779,0.3808,0.4186,5.075,5.75
82,"Chen, Harper",73,0,0.3746,0.1474,0.2174,0.2425,6.771,4.055
83,"Carter, Rowan",284,1,0.2011,0.0842,0.1206,0.1333,8.648,2.178
84,"Kim, Reese",138,1,0.5314,0.2774,0.3803,0.4182,5.073,5.753
85,"Smith, Casey",95,1,0.4017,0.2049,0.2804,0.3076,6.477,4.348
86,"Hall, Alex",97,0,0.6236,0.3239,0.4478,0.4941,4.075,6.75
87,"Carter, Harper",173,0,0.6282,0.3591,0.484,0.5309,4.025,6.801
88,"Rodriguez, Quinn",243,1,0.5341,0.271,0.3745,0.4126,5.044,5.782
89,"Allen, Logan",147,1,0.4491,0.241,0.3263,0.3572,5.963,4.862
90,"Kumar, Avery",86,1,0.4806,0.258,0.35,0.3835,5.623,5.203
91,"Singh, Emerson",99,0,0.1842,0.102,0.1352,0.1468,8.832,1.994
92,"Kim, Alex",99,0,0.6169,0.3048,0.4271,0.4728,4.147,6.679
93,"Scott, Alex",90,0,0.7106,0.3816,0.5267,0.5821,3.133,7.693
94,"Adams, Taylor",104,1,0.4997,0.2182,0.3143,0.3494,5.416,5.409
95,"Garcia, Peyton",84,1,0.7853,0.4374,0.6023,0.6667,2.324,8.501
96,"Hall, Bailey",54,0,0.5183,0.2665,0.3666,0.4033,5.215,5.611
97,"Patel, Logan",51,2,0.7074,0.3791,0.5233,0.5784,3.168,7.658
98,"Singh, Harper",67,0,0.4512,0.2508,0.3366,0.3677,5.941,4.885
99,"Young, Avery",83,1,0.1783,0.065,0.0971,0.1083,8.895,1.931
100,"Kim, Hayden",76,0,0.3887,0.2146,0.2874,0.3136,6.618,4.207
101,"Martin, Peyton",74,0,0.443,0.1884,0.2725,0.3029,6.03,4.795
102,"Green, Reese",98,0,0.7554,0.4315,0.5882,0.6489,2.648,8.178
103,"Adams, Logan",126,1,0.5634,0.3177,0.4278,0.4685,4.727,6.099
104,"Miller, Emerson",120,0,0.1511,0.0089,0.036,0.0455,9.19,1.635
105,"King, Drew",55,0,0.5664,0.2807,0.3914,0.4324,4.694,6.131
106,"Carter, Riley",88,0,0.3819,0.1961,0.2676,0.2933,6.691,4.135
107,"Wang, Drew",70,2,0.3403,0.1408,0.204,0.2265,7.142,3.684
108,"Clark, Alex",136,4,0.8091,0.4173,0.5888,0.6564,2.066,8.76
109,"Allen, Sage",47,1,0.8405,0.4878,0.6686,0.7407,1.727,9.099
110,"Walker, Taylor",58,0,0.4383,0.2212,0.3042,0.3343,6.081,4.745
111,"Green, Bailey",219,3,0.8134,0.4439,0.6167,0.6848,2.021,8.805
112,"Kumar, Emerson",42,0,0.6736,0.3734,0.5092,0.5606,3.534,7.292
113,"Nelson, Logan",209,2,0.7599,0.4319,0.5898,0.651,2.599,8.227
114,"Patel, Skyler",198,0,0.4468,0.2142,0.2991,0.3298,5.989,4.837
115,"Khan, Riley",127,1,0.7473,0.3965,0.551,0.6107,2.736,8.09
116,"Adams, Reese",38,0,0.5692,0.3129,0.4242,0.4654,4.664,6.162
117,"Garcia, Riley",126,1,0.3593,0.1547,0.2216,0.2456,6.936,3.89
118,"Chen, Avery",124,0,0.458,0.2681,0.3552,0.3869,5.867,4.958
119,"Clark, Drew",354,6,0.3424,0.1502,0.2138,0.2365,7.119,3.707
120,"Green, Hayden",89,1,0.32,0.1395,0.1986,0.2196,7.362,3.464
121,"Carter, Avery",46,0,0.2071,0.0711,0.1085,0.1217,8.584,2.242
122,"Nguyen, Morgan",94,0,0.653,0.3872,0.518,0.5673,3.756,7.07
123,"Patel, Cameron",259,0,0.6554,0.4079,0.5393,0.5889,3.73,7.096
124,"Smith, Bailey",126,0,0.3785,0.1505,0.2213,0.2467,6.729,4.097
125,"Smith, Cameron",76,0,0.3884,0.1489,0.2217,0.2478,6.621,4.205
126,"Baker, Harper",122,1,0.7489,0.3874,0.5424,0.6023,2.718,8.108
127,"King, Skyler",62,0,0.1775,0.0719,0.1038,0.115,8.905,1.921
128,"Scott, Bailey",72,1,0.6556,0.3831,0.5145,0.5641,3.729,7.097
129,"Chen, Bailey",78,0,0.695,0.366,0.5071,0.5608,3.302,7.524
130,"Hall, Drew",368,3,0.2277,0.1152,0.1566,0.1712,8.36,2.465
131,"Patel, Jordan",403,4,0.6557,0.396,0.5274,0.577,3.727,7.099
132,"Brown, Bailey",301,3,0.4523,0.2231,0.3091,0.3403,5.929,4.896
133,"Davis, Cameron",84,0,0.5352,0.2794,0.3832,0.4214,5.031,5.794
134,"Allen, Morgan",161,1,0.1638,0.0575,0.0869,0.0972,9.053,1.773
135,"King, Sage",51,0,0.3509,0.1714,0.2367,0.26,7.027,3.799
136,"Young, Peyton",181,1,0.9255,0.5391,0.7485,0.8357,0.806,10.019
137,"Clark, Skyler",140,2,0.2285,0.0791,0.1206,0.1352,8.352,2.474
138,"Nguyen, Rowan",82,0,0.2023,0.0489,0.0855,0.0983,8.636,2.19
139,"Adams, Cameron",103,0,0.2611,0.0958,0.1436,0.1604,8.0,2.826
140,"Martin, Avery",81,0,0.2812,0.1295,0.1811,0.1993,7.782,3.044
141,"Lewis, Reese",110,2,0.95,0.5824,0.8016,0.8948,0.541,10.284
142,"Hall, Casey",26,0,0.6062,0.2968,0.4166,0.4613,4.263,6.563
143,"Khan, Jordan",433,5,0.6395,0.3722,0.4998,0.5477,3.903,6.923
144,"Kumar, Casey",85,0,0.5032,0.2673,0.3641,0.3995,5.378,5.448
145,"Martin, Drew",130,1,0.4735,0.2322,0.3227,0.3556,5.7,5.126
146,"Scott, Sage",172,3,0.3788,0.1949,0.2658,0.2912,6.725,4.101
147,"Rodriguez, Taylor",113,1,0.6256,0.3384,0.4627,0.5093,4.054,6.772
148,"Allen, Rowan",67,0,0.2975,0.1268,0.1816,0.201,7.605,3.221
149,"Adams, Quinn",137,2,0.7944,0.4444,0.6118,0.6774,2.226,8.6
150,"Khan, Hayden",130,1,0.7009,0.4028,0.5454,0.5997,3.238,7.588
151,"Singh, Peyton",54,0,0.392,0.1993,0.2729,0.2993,6.582,4.244
152,"Garcia, Cameron",42,0,0.5216,0.2581,0.3588,0.3958,5.179,5.646
153,"Allen, Quinn",175,1,0.553,0.2649,0.3726,0.4124,4.84,5.986
154,"Brown, Rowan",130,1,0.5699,0.298,0.4095,0.4508,4.656,6.17
155,"Wang, Rowan",149,0,0.2143,0.095,0.1338,0.1475,8.506,2.32
156,"Allen, Jordan",83,1,0.3469,0.1326,0.1971,0.2201,7.07,3.755
157,"Young, Bailey",318,4,0.674,0.3704,0.5063,0.5578,3.53,7.296
158,"Lee, Emerson",368,3,0.2984,0.1179,0.1728,0.1923,7.596,3.23
159,"Young, Sage",57,0,0.4853,0.2434,0.3363,0.3702,5.572,5.253
160,"Baker, Skyler",218,0,0.6215,0.35,0.4734,0.5195,4.098,6.728
161,"Green, Taylor",97,1,0.6027,0.3286,0.4476,0.4919,4.301,6.525
162,"Adams, Drew",47,0,0.1153,0.0488,0.0694,0.0765,9.578,1.248
163,"Allen, Harper",134,3,0.4299,0.1986,0.2799,0.3093,6.172,4.654
164,"Baker, Logan",69,1,0.6042,0.2979,0.4172,0.4617,4.285,6.541
165,"Martin, Alex",164,0,0.4591,0.2117,0.2991,0.3308,5.856,4.97
166,"Khan, Alex",82,1,0.7034,0.4348,0.578,0.6326,3.211,7.614
167,"Brown, Morgan",200,1,0.5259,0.2874,0.3892,0.4265,5.133,5.693
168,"Carter, Hayden",87,0,0.392,0.2215,0.295,0.3214,6.582,4.243
169,"Brown, Alex",174,0,0.3127,0.1281,0.1858,0.2064,7.44,3.385
170,"Clark, Hayden",178,0,0.323,0.1468,0.2065,0.2278,7.329,3.497
171,"Patel, Alex",136,0,0.9048,0.4998,0.7016,0.7846,1.03,9.796
172,"Singh, Avery",270,2,0.7121,0.4233,0.5687,0.6243,3.116,7.709
173,"Rodriguez, Drew",154,1,0.3829,0.1748,0.2465,0.2722,6.681,4.145
174,"Green, Logan",46,0,0.5066,0.2655,0.3631,0.3988,5.341,5.485
175,"Walker, Sage",159,0,0.177,0.0765,0.1084,0.1195,8.909,1.917
176,"Smith, Rowan",193,2,0.4102,0.1771,0.2543,0.2822,6.385,4.44
177,"Brown, Riley",42,0,0.2311,0.0802,0.1222,0.137,8.324,2.502
178,"Allen, Hayden",48,0,0.1548,0.0477,0.0755,0.0852,9.15,1.676
179,"Chen, Alex",43,0,0.3668,0.1757,0.2441,0.2686,6.855,3.971
180,"Brown, Sage",69,0,0.3429,0.1554,0.2191,0.2418,7.114,3.712
181,"Kumar, Cameron",62,0,0.5298,0.2735,0.3761,0.4138,5.09,5.735
182,"Adams, Harper",244,2,0.3408,0.1348,0.1981,0.2207,7.136,3.69
183,"Lee, Jordan",60,0,0.8094,0.4804,0.6521,0.7197,2.063,8.763
184,"Green, Avery",296,1,0.5444,0.2929,0.3987,0.4377,4.932,5.893
185,"Nguyen, Taylor",63,1,0.9285,0.514,0.7245,0.8124,0.774,10.052
186,"Clark, Rowan",94,2,0.5773,0.3018,0.415,0.457,4.576,6.25
187,"Clark, Avery",76,0,0.3393,0.1665,0.2295,0.2519,7.153,3.673
188,"Walker, Harper",279,1,0.6074,0.2765,0.3966,0.4414,4.25,6.576
189,"Clark, Taylor",86,0,0.3653,0.1584,0.2265,0.2509,6.872,3.954
190,"Kumar, Riley",113,0,0.6711,0.3521,0.4873,0.5385,3.56,7.265
191,"Chen, Rowan",188,0,0.6122,0.3194,0.4406,0.4859,4.199,6.627
192,"King, Jordan",224,1,0.5823,0.3068,0.4211,0.4635,4.522,6.304
193,"Kim, Rowan",181,1,0.6374,0.3841,0.5112,0.5589,3.926,6.9
194,"Adams, Sage",130,2,0.3798,0.2063,0.2773,0.3028,6.714,4.112
195,"Lopez, Avery",94,1,0.5325,0.2802,0.3834,0.4214,5.061,5.764
196,"Clark, Harper",215,1,0.2676,0.0906,0.1396,0.1569,7.929,2.897
197,"Nguyen, Riley",77,0,0.3702,0.1683,0.2374,0.2622,6.818,4.008
198,"Lopez, Alex",35,0,0.5813,0.3165,0.4305,0.4729,4.533,6.293
199,"Kumar, Peyton",44,0,0.3049,0.1546,0.2108,0.2308,7.525,3.301
200,"Walker, Casey",33,1,0.6537,0.3436,0.4746,0.524,3.749,7.077
201,"Nguyen, Hayden",165,0,0.7896,0.4497,0.6158,0.6807,2.278,8.548
202,"Baker, Reese",62,0,0.6756,0.3398,0.4762,0.5278,3.512,7.314
203,"Baker, Quinn",112,0,0.2395,0.1092,0.1528,0.1681,8.233,2.592
204,"Rodriguez, Reese",144,0,0.4558,0.2276,0.3143,0.3458,5.892,4.934
205,"Khan, Peyton",64,0,0.4922,0.2476,0.342,0.3765,5.497,5.329
206,"Miller, Reese",112,1,0.5699,0.2463,0.3578,0.3991,4.656,6.17
207,"Clark, Reese",161,0,0.4474,0.1919,0.2768,0.3076,5.982,4.844
208,"Walker, Logan",101,1,0.6356,0.3284,0.455,0.5026,3.945,6.88
209,"Martin, Casey",164,2,0.6188,0.3554,0.4781,0.524,4.126,6.699
210,"Smith, Avery",51,1,0.5491,0.2901,0.3969,0.4364,4.881,5.945
211,"Green, Quinn",103,2,0.8422,0.493,0.6743,0.7467,1.709,9.117
212,"Rodriguez, Jordan",64,1,0.6555,0.3442,0.4757,0.5252,3.73,7.096
213,"Lopez, Emerson",144,1,0.512,0.2593,0.358,0.3942,5.283,5.543
214,"King, Hayden",115,1,0.7912,0.446,0.6125,0.6776,2.26,8.566
215,"Baker, Morgan",153,1,0.6055,0.3274,0.447,0.4917,4.271,6.555
216,"Nguyen, Jordan",78,0,0.2934,0.1426,0.1966,0.2157,7.65,3.176
217,"Khan, Emerson",98,1,0.627,0.3169,0.4415,0.4882,4.038,6.788
218,"Walker, Jordan",137,0,0.4552,0.2152,0.3018,0.3332,5.898,4.927
219,"Kumar, Rowan",139,0,0.5306,0.2769,0.3797,0.4175,5.081,5.744
220,"Lee, Bailey",126,2,0.2217,0.064,0.1042,0.1183,8.425,2.401
221,"Khan, Harper",45,2,0.2713,0.0968,0.1465,0.1641,7.888,2.937
222,"Singh, Jordan",25,0,0.2852,0.1173,0.1697,0.1882,7.738,3.088
223,"Walker, Skyler",93,0,0.3539,0.1638,0.2296,0.2532,6.994,3.831
224,"Patel, Emerson",98,0,0.6905,0.3815,0.5215,0.5747,3.351,7.475
225,"Davis, Sage",29,0,0.7524,0.4084,0.5643,0.6245,2.681,8.145
226,"Green, Peyton",92,2,0.7379,0.4119,0.564,0.6226,2.838,7.988
227,"Lopez, Reese",202,0,0.7855,0.4357,0.6006,0.665,2.322,8.504
228,"Hall, Jordan",84,0,0.6979,0.3627,0.5046,0.5586,3.27,7.556
229,"Smith, Logan",98,0,0.5935,0.314,0.4308,0.4743,4.401,6.425
230,"Nelson, Emerson",30,0,0.6798,0.3636,0.5009,0.553,3.467,7.359
231,"Scott, Riley",77,0,0.4663,0.2351,0.324,0.3563,5.778,5.048
232,"Martin, Morgan",52,2,0.2851,0.1392,0.1916,0.2101,7.74,3.086
233,"Smith, Skyler",289,1,0.3417,0.1559,0.2193,0.2419,7.127,3.699
234,"Davis, Taylor",25,0,0.3589,0.1645,0.2313,0.2553,6.941,3.885
235,"Baker, Riley",125,0,0.3952,0.1858,0.26,0.2867,6.547,4.278
236,"Kim, Emerson",141,0,0.8059,0.4685,0.6392,0.7063,2.101,8.725
237,"Garcia, Skyler",174,0,0.3625,0.1527,0.2203,0.2445,6.902,3.924
238,"Walker, Drew",28,1,0.4219,0.2109,0.2906,0.3193,6.259,4.567
239,"Baker, Emerson",80,0,0.6655,0.3581,0.492,0.5426,3.621,7.205
240,"Nguyen, Reese",150,1,0.5066,0.2502,0.3477,0.3834,5.342,5.484
241,"Lopez, Bailey",237,3,0.8722,0.5179,0.7087,0.7858,1.384,9.442
242,"Lopez, Sage",48,1,0.1428,0.0388,0.0644,0.0733,9.28,1.546
243,"Wang, Logan",49,0,0.2213,0.0884,0.1286,0.1427,8.43,2.396
244,"Garcia, Reese",166,0,0.828,0.4873,0.6644,0.7346,1.862,8.964
245,"Carter, Logan",25,0,0.4942,0.2744,0.3692,0.4039,5.476,5.35
246,"Lee, Skyler",104,0,0.3847,0.1846,0.2567,0.2826,6.661,4.165
247,"King, Reese",66,0,0.6218,0.3089,0.4323,0.4785,4.094,6.732
248,"Lee, Sage",31,0,0.4888,0.284,0.3777,0.4119,5.534,5.292
249,"Brown, Drew",83,0,0.4688,0.2193,0.3088,0.3413,5.751,5.075
250,"King, Taylor",142,0,0.5114,0.2538,0.3524,0.3885,5.289,5.537
251,"Garcia, Taylor",424,3,0.3867,0.2142,0.2866,0.3127,6.639,4.187
252,"Lopez, Skyler",332,2,0.7141,0.3884,0.5343,0.5902,3.095,7.731
253,"Chen, Drew",42,0,0.2249,0.0917,0.1326,0.1469,8.391,2.435
254,"Brown, Taylor",211,1,0.3819,0.1618,0.2333,0.2589,6.691,4.135
255,"Young, Cameron",263,1,0.8242,0.47,0.6459,0.7156,1.903,8.923
256,"Davis, Hayden",214,1,0.597,0.3385,0.4561,0.5,4.362,6.463
257,"Nelson, Bailey",123,0,0.4886,0.2452,0.3389,0.3731,5.536,5.289
258,"Adams, Emerson",147,2,0.2915,0.0739,0.1275,0.1465,7.67,3.156
259,"Singh, Drew",332,1,0.8735,0.4984,0.6896,0.7669,1.369,9.456
260,"Allen, Casey",245,1,0.688,0.37,0.5094,0.5623,3.377,7.449
261,"Green, Emerson",65,0,0.4617,0.2408,0.3288,0.3607,5.827,4.999
262,"Nguyen, Alex",206,0,0.6512,0.3789,0.5093,0.5584,3.776,7.05
263,"Garcia, Avery",103,0,0.869,0.494,0.6838,0.7603,1.419,9.407
264,"Singh, Skyler",57,0,0.2013,0.0856,0.122,0.1347,8.647,2.179
265,"Nelson, Cameron",89,0,0.6967,0.3476,0.4891,0.5431,3.284,7.542
266,"Wang, Alex",103,1,0.3534,0.1438,0.2096,0.2331,6.999,3.826
267,"Rodriguez, Harper",115,0,0.7824,0.4416,0.6057,0.6697,2.355,8.471
268,"Lewis, Quinn",152,0,0.3588,0.192,0.2588,0.2827,6.941,3.884
269,"Nguyen, Peyton",139,2,0.6176,0.3147,0.4371,0.4829,4.14,6.686
270,"Green, Morgan",312,1,0.2832,0.091,0.1429,0.1614,7.76,3.066
271,"King, Morgan",44,0,0.3114,0.1259,0.1834,0.2038,7.454,3.372
272,"Scott, Logan",44,0,0.5315,0.3021,0.4051,0.4429,5.072,5.754
273,"Carter, Reese",55,0,0.7582,0.4073,0.5648,0.6258,2.617,8.208
274,"Chen, Riley",209,0,0.1421,0.0658,0.0913,0.1001,9.287,1.539
275,"Lopez, Taylor",113,0,0.5612,0.3059,0.4155,0.456,4.75,6.076
276,"Nelson, Drew",44,0,0.7408,0.412,0.5648,0.6237,2.806,8.02
277,"Brown, Casey",37,0,0.4582,0.232,0.3192,0.3509,5.866,4.96
278,"Scott, Casey",88,0,0.3343,0.1536,0.2155,0.2376,7.207,3.619
279,"Singh, Quinn",61,0,0.4194,0.193,0.2722,0.3007,6.285,4.54
280,"Davis, Drew",65,0,0.5276,0.2699,0.372,0.4095,5.114,5.712
281,"King, Alex",72,0,0.7774,0.4475,0.6102,0.6735,2.409,8.416
282,"Allen, Avery",98,1,0.3878,0.1837,0.2564,0.2825,6.628,4.198
283,"Lopez, Hayden",48,0,0.6598,0.3416,0.474,0.5241,3.683,7.142
284,"Carter, Jordan",107,0,0.6952,0.4001,0.5412,0.595,3.299,7.526
285,"Miller, Casey",125,1,0.4966,0.2438,0.3391,0.374,5.45,5.376
286,"Green, Harper",165,0,0.2985,0.1184,0.1734,0.1929,7.594,3.232
287,"Carter, Emerson",207,0,0.7212,0.4095,0.5572,0.6138,3.018,7.807
288,"Green, Skyler",296,3,0.3462,0.153,0.2173,0.2403,7.078,3.748
289,"Martin, Sage",163,2,0.4091,0.1796,0.2566,0.2844,6.397,4.429
290,"Hall, Peyton",35,0,0.5845,0.3432,0.458,0.5007,4.499,6.327
291,"Carter, Skyler",317,1,0.2676,0.1246,0.1736,0.1909,7.929,2.896
292,"Clark, Riley",123,0,0.4675,0.2042,0.2933,0.3258,5.765,5.061
293,"King, Riley",71,0,0.1623,0.091,0.1201,0.1303,9.069,1.757
294,"Green, Drew",53,0,0.4673,0.2028,0.2919,0.3244,5.767,5.059
295,"Rodriguez, Riley",187,1,0.3921,0.1754,0.249,0.2754,6.581,4.244
296,"Martin, Logan",205,3,0.3956,0.208,0.2822,0.309,6.543,4.283
297,"Martin, Jordan",80,0,0.3993,0.1783,0.2533,0.2803,6.503,4.322
298,"Khan, Cameron",27,0,0.9216,0.5261,0.7341,0.8205,0.848,9.977
299,"Singh, Sage",51,0,0.3907,0.1752,0.2485,0.2748,6.597,4.229
